name	value
"15-04-01"	6.52
"15-04-02"	4.45
"15-04-03"	4.57
"15-04-04"	3.74
"15-04-05"	6.94
"15-04-06"	8.39
"15-04-07"	10.47
"15-04-08"	6.85
"15-04-09"	9.37
"15-04-10"	4.73
"15-04-11"	8.59
"15-04-12"	7.08
"15-04-13"	5.43
"15-04-14"	6.33
