name	value
"15-04-01"	23.0
"15-04-02"	35.0
"15-04-03"	1.0
"15-04-04"	32.0
"15-04-05"	24.0
"15-04-06"	42.0
"15-04-07"	35.0
"15-04-08"	15.0
"15-04-09"	36.0
"15-04-10"	8.0
"15-04-11"	32.0
"15-04-12"	22.0
"15-04-13"	17.0
"15-04-14"	16.0
