name	value
"15-04-01"	2.577
"15-04-02"	2.249
"15-04-03"	0.383
"15-04-04"	5.222
"15-04-05"	2.696
"15-04-06"	2.870
"15-04-07"	3.089
"15-04-08"	2.469
"15-04-09"	9.925
"15-04-10"	2.456
"15-04-11"	3.295
"15-04-12"	10.767
"15-04-13"	2.677
"15-04-14"	8.247
