name	value
"15-04-01"	13262
"15-04-02"	10198
"15-04-03"	10054
"15-04-04"	870
"15-04-05"	15917
"15-04-06"	18180
"15-04-07"	21203
"15-04-08"	13422
"15-04-09"	19430
"15-04-10"	10834
"15-04-11"	19697
"15-04-12"	16237
"15-04-13"	12443
"15-04-14"	14138
