timestamp,x,y,z
1437769242.175756,0.803000,0.094000,-0.557000
1437769242.195287,0.806000,0.088000,-0.572000
1437769242.216772,0.803000,0.085000,-0.570000
1437769242.236303,0.803000,0.084000,-0.574000
1437769242.255834,0.803000,0.087000,-0.572000
1437769242.275366,0.805000,0.085000,-0.570000
1437769242.294897,0.805000,0.085000,-0.573000
1437769242.314428,0.805000,0.083000,-0.575000
1437769242.334936,0.806000,0.084000,-0.574000
1437769242.353491,0.806000,0.086000,-0.571000
1437769242.374975,0.808000,0.085000,-0.572000
1437769242.393530,0.807000,0.086000,-0.573000
1437769242.414037,0.805000,0.085000,-0.574000
1437769242.433569,0.805000,0.084000,-0.573000
1437769242.453100,0.805000,0.089000,-0.576000
1437769242.472631,0.804000,0.087000,-0.573000
1437769242.493139,0.805000,0.087000,-0.573000
1437769242.513647,0.804000,0.085000,-0.574000
1437769242.533178,0.806000,0.084000,-0.573000
1437769242.552709,0.809000,0.085000,-0.573000
1437769242.572241,0.806000,0.086000,-0.573000
1437769242.592748,0.805000,0.087000,-0.568000
1437769242.611303,0.807000,0.086000,-0.574000
1437769242.632787,0.803000,0.084000,-0.572000
1437769242.651342,0.807000,0.086000,-0.575000
1437769242.671850,0.806000,0.084000,-0.574000
1437769242.691381,0.805000,0.087000,-0.570000
1437769242.710912,0.806000,0.083000,-0.574000
1437769242.730444,0.806000,0.083000,-0.569000
1437769242.750952,0.805000,0.085000,-0.570000
1437769242.769506,0.801000,0.084000,-0.575000
1437769242.790991,0.806000,0.085000,-0.576000
1437769242.809545,0.804000,0.083000,-0.573000
1437769242.830053,0.807000,0.083000,-0.572000
1437769242.849584,0.807000,0.090000,-0.571000
1437769242.869116,0.804000,0.086000,-0.573000
1437769242.890600,0.806000,0.083000,-0.573000
1437769242.909155,0.803000,0.086000,-0.573000
1437769242.929662,0.808000,0.086000,-0.572000
1437769242.949194,0.807000,0.087000,-0.573000
1437769242.968725,0.804000,0.085000,-0.572000
1437769242.988256,0.806000,0.084000,-0.572000
1437769243.008764,0.805000,0.083000,-0.571000
1437769243.027319,0.804000,0.084000,-0.571000
1437769243.048803,0.807000,0.086000,-0.571000
1437769243.067358,0.803000,0.084000,-0.576000
1437769243.087866,0.806000,0.088000,-0.571000
1437769243.107397,0.803000,0.086000,-0.572000
1437769243.126928,0.806000,0.088000,-0.573000
1437769243.146459,0.805000,0.087000,-0.573000
1437769243.166967,0.806000,0.083000,-0.574000
1437769243.185522,0.808000,0.085000,-0.568000
1437769243.207983,0.805000,0.083000,-0.571000
1437769243.226537,0.809000,0.087000,-0.572000
1437769243.246069,0.805000,0.085000,-0.569000
1437769243.266577,0.806000,0.083000,-0.572000
1437769243.285131,0.807000,0.085000,-0.571000
1437769243.306616,0.803000,0.086000,-0.572000
1437769243.325170,0.809000,0.086000,-0.574000
