1439352113.633235,0.265000,-0.110000,-0.949000
1439352113.652278,0.247000,-0.099000,-0.947000
1439352113.672786,0.248000,-0.087000,-0.954000
1439352113.691829,0.266000,-0.070000,-0.954000
1439352113.712337,0.258000,-0.060000,-0.958000
1439352113.731380,0.248000,-0.054000,-0.960000
1439352113.751888,0.237000,-0.052000,-0.959000
1439352113.772395,0.233000,-0.050000,-0.955000
1439352113.791438,0.260000,-0.054000,-0.956000
1439352113.811946,0.289000,-0.051000,-0.951000
1439352113.830989,0.281000,-0.048000,-0.954000
1439352113.851497,0.277000,-0.060000,-0.951000
1439352113.870540,0.291000,-0.078000,-0.943000
1439352113.891048,0.293000,-0.089000,-0.946000
1439352113.910091,0.309000,-0.076000,-0.941000
1439352113.930598,0.323000,-0.080000,-0.939000
1439352113.949641,0.317000,-0.100000,-0.944000
1439352113.970149,0.318000,-0.087000,-0.941000
1439352113.989192,0.305000,-0.088000,-0.938000
1439352114.009700,0.303000,-0.093000,-0.946000
1439352114.030208,0.303000,-0.087000,-0.945000
1439352114.049251,0.297000,-0.068000,-0.950000
1439352114.069759,0.285000,-0.066000,-0.949000
1439352114.088802,0.273000,-0.068000,-0.952000
1439352114.109309,0.267000,-0.067000,-0.952000
1439352114.128352,0.272000,-0.061000,-0.950000
1439352114.148860,0.273000,-0.061000,-0.949000
1439352114.167903,0.275000,-0.064000,-0.950000
1439352114.188411,0.284000,-0.064000,-0.945000
1439352114.208919,0.286000,-0.067000,-0.948000
1439352114.227962,0.283000,-0.077000,-0.945000
1439352114.247005,0.291000,-0.082000,-0.943000
1439352114.268977,0.294000,-0.084000,-0.943000
1439352114.288020,0.293000,-0.084000,-0.942000
1439352114.307063,0.300000,-0.082000,-0.942000
1439352114.327571,0.294000,-0.082000,-0.944000
1439352114.346614,0.291000,-0.079000,-0.943000
1439352114.367122,0.288000,-0.078000,-0.943000
1439352114.386165,0.288000,-0.083000,-0.949000
1439352114.406673,0.293000,-0.070000,-0.941000
1439352114.425716,0.287000,-0.066000,-0.945000
1439352114.446223,0.287000,-0.070000,-0.945000
1439352114.465266,0.287000,-0.066000,-0.948000
1439352114.485774,0.285000,-0.066000,-0.948000
1439352114.506282,0.285000,-0.063000,-0.953000
1439352114.525325,0.287000,-0.067000,-0.950000
1439352114.545833,0.292000,-0.066000,-0.950000
1439352114.564876,0.292000,-0.072000,-0.946000
1439352114.585384,0.293000,-0.075000,-0.947000
